Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price to be sold at,Quantity sold,Tax 5%,Total,Date,Time,Payment,COGS,gross margin percentage(unit),gross profit,Rating
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,3/7/2019,13:58,Ewallet,87.99,65,163.41,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.75,918.73,3/30/2019,14:43,Ewallet,402.49,54,472.49,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.02,588.36,3/27/2019,19:18,Ewallet,184.91,67,375.43,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.27,362.71,1/19/2019,19:39,Credit card,158.9,54,186.54,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.18,66.87,2/25/2019,16:21,Cash,28.02,56,35.67,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.03,336.56,3/13/2019,19:44,Credit card,144.24,55,176.29,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,1/30/2019,19:42,Ewallet,56.54,63,96.26,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2/20/2019,15:24,Credit card,195.51,51,203.49,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.03,357.59,2/25/2019,14:12,Ewallet,132.82,61,207.74,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,1/16/2019,13:32,Cash,286.74,70,669.06,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2/8/2019,16:20,Credit card,356.33,64,633.47,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.38,323.06,1/19/2019,16:31,Cash,113.84,63,193.84,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.33,510.97,2/1/2019,15:10,Credit card,243.32,50,243.32,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5,367.55,1/3/2019,11:36,Ewallet,136.52,61,213.53,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.01,420.26,1/26/2019,12:45,Credit card,188.12,53,212.13,9.4
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,3/3/2019,19:17,Cash,83.4,50,83.4,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.87,333.21,1/19/2019,17:34,Credit card,98.38,69,218.96,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.92,166.24,1/18/2019,12:04,Ewallet,47.5,70,110.82,8.7
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.23,319.79,3/21/2019,16:21,Ewallet,109.64,64,194.92,8.8
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.87,186.23,3/3/2019,17:01,Credit card,78.04,56,99.32,9.6
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.88,165.45,2/13/2019,10:50,Credit card,77.21,51,80.36,4.8
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,22.16,465.44,3/23/2019,19:16,Ewallet,137.42,69,305.86,4.4
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.42,1/28/2019,16:47,Ewallet,78.12,70,182.28,9.9
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.49,472.31,2/9/2019,10:00,Cash,179.93,60,269.89,5.7
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.39,323.15,1/23/2019,11:51,Cash,101.56,67,206.2,7.7
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,3/23/2019,10:55,Ewallet,66.65,57,88.35,8
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.72,288.2,1/25/2019,15:00,Ewallet,137.24,50,137.24,5.7
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.32,90.7,3/4/2019,11:19,Credit card,41.46,52,44.92,6.7
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,2.71,56.95,3/5/2019,19:46,Ewallet,18.98,65,35.26,8
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.8,793.72,3/3/2019,19:00,Ewallet,234.34,69,521.58,7.5
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.29,195.17,2/8/2019,10:53,Cash,81.79,56,104.09,7
